时间,是否始发站,是否终到站
05:22,0,0
05:30,0,0
05:38,0,0
05:46,0,0
05:53,0,0
06:01,0,0
06:08,0,0
06:16,0,0
06:23,0,0
06:31,0,0
06:38,0,0
06:45,0,0
06:49,0,0
06:53,0,0
06:57,0,0
07:01,0,0
07:04,0,0
07:08,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:21,0,0
07:24,0,0
07:27,0,0
07:30,0,0
07:33,0,0
07:36,0,0
07:39,0,0
07:43,0,0
07:45,0,0
07:48,0,0
07:51,0,0
07:54,0,0
07:57,0,0
08:00,0,0
08:03,0,0
08:06,0,0
08:09,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:31,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:45,0,0
08:48,0,0
08:50,0,0
08:56,0,0
09:01,0,0
09:04,0,0
09:06,0,0
09:10,0,0
09:15,0,0
09:19,0,0
09:23,0,0
09:25,0,0
09:28,0,0
09:31,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:42,0,0
09:45,0,0
09:48,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:19,0,0
10:22,0,0
10:26,0,0
10:29,0,0
10:32,0,0
10:35,0,0
10:39,0,0
10:42,0,0
10:45,0,0
10:51,0,0
10:58,0,0
11:04,0,0
11:10,0,0
11:16,0,0
11:23,0,0
11:29,0,0
11:36,0,0
11:43,0,0
11:50,0,0
11:57,0,0
12:04,0,0
12:11,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:41,0,0
15:48,0,0
15:55,0,0
16:02,0,0
16:09,0,0
16:16,0,0
16:20,0,0
16:26,0,0
16:29,0,0
16:34,0,0
16:38,0,0
16:42,0,0
16:46,0,0
16:50,0,0
16:53,0,0
16:56,0,0
16:59,0,0
17:02,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:14,0,0
17:17,0,0
17:20,0,0
17:24,0,0
17:27,0,0
17:30,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:02,0,0
19:05,0,0
19:08,0,0
19:11,0,0
19:14,0,0
19:17,0,0
19:20,0,0
19:23,0,0
19:26,0,0
19:29,0,0
19:32,0,0
19:35,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:06,0,0
20:09,0,0
20:12,0,0
20:15,0,0
20:18,0,0
20:21,0,0
20:24,0,0
20:27,0,0
20:30,0,0
20:33,0,0
20:36,0,0
20:39,0,0
20:42,0,0
20:45,0,0
20:48,0,0
20:51,0,0
20:54,0,0
20:57,0,0
21:00,0,0
21:04,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:45,0,0
22:51,0,0
22:57,0,0
23:03,0,0
23:09,0,0
23:15,0,0
23:21,0,0
23:27,0,0
23:33,0,0
23:39,0,0
23:45,0,0
23:51,0,0
