时间,是否始发站,是否终到站
05:25,0,0
05:33,0,0
05:41,0,0
05:49,0,0
05:56,0,0
06:03,0,0
06:12,0,0
06:15,0,0
06:20,0,0
06:24,0,0
06:28,0,0
06:32,0,0
06:37,0,0
06:39,0,0
06:44,0,0
06:47,0,0
06:52,0,0
06:55,0,0
06:59,0,0
07:02,0,0
07:07,0,0
07:09,0,0
07:14,0,0
07:17,0,0
07:21,0,0
07:25,0,0
07:29,0,0
07:31,0,0
07:35,0,0
07:38,0,0
07:42,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:56,0,0
08:00,0,0
08:04,0,0
08:07,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:20,0,0
08:22,0,0
08:25,0,0
08:29,0,0
08:31,0,0
08:34,0,0
08:38,0,0
08:42,0,0
08:44,0,0
08:47,0,0
08:50,0,0
08:54,0,0
08:56,0,0
08:59,0,0
09:05,0,0
09:11,0,0
09:15,0,0
09:19,0,0
09:23,0,0
09:25,0,0
09:29,0,0
09:31,0,0
09:35,0,0
09:39,0,0
09:41,0,0
09:45,0,0
09:48,0,0
09:53,0,0
09:57,0,0
10:01,0,0
10:03,0,0
10:05,0,0
10:11,0,0
10:15,0,0
10:18,0,0
10:24,0,0
10:27,0,0
10:30,0,0
10:35,0,0
10:41,0,0
10:45,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:09,0,0
12:15,0,0
12:22,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:30,0,0
15:37,0,0
15:44,0,0
15:51,0,0
15:58,0,0
16:05,0,0
16:12,0,0
16:19,0,0
16:26,0,0
16:33,0,0
16:40,0,0
16:47,0,0
16:54,0,0
17:01,0,0
17:08,0,0
17:13,0,0
17:19,0,0
17:22,0,0
17:27,0,0
17:31,0,0
17:35,0,0
17:39,0,0
17:43,0,0
17:46,0,0
17:49,0,0
17:52,0,0
17:55,0,0
17:58,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:23,0,0
19:25,0,0
19:27,0,0
19:29,0,0
19:33,0,0
19:36,0,0
19:40,0,0
19:42,0,0
19:46,0,0
19:52,0,0
19:55,0,0
20:01,0,0
20:07,0,0
20:13,0,0
20:19,0,0
20:25,0,0
20:31,0,0
20:37,0,0
20:43,0,0
20:49,0,0
20:56,0,0
21:02,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:14,0,0
22:20,0,0
22:26,0,0
22:32,0,0
22:38,0,0
22:44,0,0
22:50,0,0
22:56,0,0
23:02,0,0
23:08,0,0
23:14,0,0
23:20,0,0
23:26,0,0
23:34,0,0
