时间,是否始发站,是否终到站
05:19,0,0
05:27,0,0
05:35,0,0
05:43,0,0
05:50,0,0
05:58,0,0
06:05,0,0
06:13,0,0
06:20,0,0
06:28,0,0
06:35,0,0
06:42,0,0
06:46,0,0
06:50,0,0
06:54,0,0
06:58,0,0
07:01,0,0
07:05,0,0
07:09,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:21,0,0
07:24,0,0
07:27,0,0
07:30,0,0
07:33,0,0
07:36,0,0
07:39,0,0
07:42,0,0
07:45,0,0
07:48,0,0
07:51,0,0
07:54,0,0
07:57,0,0
08:00,0,0
08:03,0,0
08:06,0,0
08:09,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:42,0,0
08:45,0,0
08:47,0,0
08:53,0,0
08:58,0,0
09:01,0,0
09:03,0,0
09:07,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:22,0,0
09:25,0,0
09:28,0,0
09:31,0,0
09:34,0,0
09:37,0,0
09:39,0,0
09:42,0,0
09:45,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:19,0,0
10:23,0,0
10:26,0,0
10:29,0,0
10:32,0,0
10:36,0,0
10:39,0,0
10:42,0,0
10:48,0,0
10:55,0,0
11:01,0,0
11:07,0,0
11:13,0,0
11:20,0,0
11:26,0,0
11:33,0,0
11:40,0,0
11:47,0,0
11:54,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:22,0,0
12:29,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:56,0,0
15:03,0,0
15:10,0,0
15:17,0,0
15:24,0,0
15:31,0,0
15:38,0,0
15:45,0,0
15:52,0,0
15:59,0,0
16:06,0,0
16:13,0,0
16:17,0,0
16:23,0,0
16:26,0,0
16:31,0,0
16:35,0,0
16:39,0,0
16:43,0,0
16:47,0,0
16:50,0,0
16:53,0,0
16:56,0,0
16:59,0,0
17:02,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:14,0,0
17:17,0,0
17:21,0,0
17:24,0,0
17:27,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:41,0,0
17:43,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:59,0,0
19:02,0,0
19:05,0,0
19:08,0,0
19:11,0,0
19:14,0,0
19:17,0,0
19:20,0,0
19:23,0,0
19:26,0,0
19:29,0,0
19:32,0,0
19:35,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:57,0,0
20:00,0,0
20:03,0,0
20:06,0,0
20:09,0,0
20:12,0,0
20:15,0,0
20:18,0,0
20:21,0,0
20:24,0,0
20:27,0,0
20:30,0,0
20:33,0,0
20:36,0,0
20:39,0,0
20:42,0,0
20:45,0,0
20:48,0,0
20:51,0,0
20:54,0,0
20:57,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:42,0,0
22:48,0,0
22:54,0,0
23:00,0,0
23:06,0,0
23:12,0,0
23:18,0,0
23:24,0,0
23:30,0,0
23:36,0,0
23:42,0,0
23:48,0,0
