时间,是否始发站,是否终到站
05:29,0,0
05:38,0,0
05:45,0,0
05:53,0,0
06:01,0,0
06:08,0,0
06:16,0,0
06:23,0,0
06:30,0,0
06:39,0,0
06:45,0,0
06:52,0,0
06:56,0,0
07:00,0,0
07:04,0,0
07:08,0,0
07:11,0,0
07:15,0,0
07:19,0,0
07:22,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:34,0,0
07:37,0,0
07:40,0,0
07:43,0,0
07:46,0,0
07:49,0,0
07:52,0,0
07:55,0,0
07:58,0,0
08:01,0,0
08:04,0,0
08:07,0,0
08:10,0,0
08:13,0,0
08:16,0,0
08:19,0,0
08:22,0,0
08:25,0,0
08:28,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:52,0,0
08:55,0,0
08:57,0,0
09:03,0,0
09:08,0,0
09:11,0,0
09:13,0,0
09:17,0,0
09:22,0,0
09:26,0,0
09:30,0,0
09:32,0,0
09:35,0,0
09:38,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:59,0,0
10:02,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:17,0,0
10:20,0,0
10:23,0,0
10:26,0,0
10:29,0,0
10:33,0,0
10:36,0,0
10:39,0,0
10:42,0,0
10:46,0,0
10:49,0,0
10:52,0,0
10:58,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:30,0,0
11:36,0,0
11:43,0,0
11:50,0,0
11:57,0,0
12:04,0,0
12:11,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:41,0,0
15:48,0,0
15:55,0,0
16:02,0,0
16:09,0,0
16:16,0,0
16:23,0,0
16:27,0,0
16:33,0,0
16:36,0,0
16:41,0,0
16:45,0,0
16:49,0,0
16:53,0,0
16:57,0,0
17:00,0,0
17:03,0,0
17:06,0,0
17:09,0,0
17:12,0,0
17:15,0,0
17:18,0,0
17:21,0,0
17:24,0,0
17:27,0,0
17:31,0,0
17:34,0,0
17:37,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:03,0,0
19:06,0,0
19:09,0,0
19:12,0,0
19:15,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:27,0,0
19:30,0,0
19:33,0,0
19:36,0,0
19:39,0,0
19:42,0,0
19:45,0,0
19:48,0,0
19:51,0,0
19:54,0,0
19:57,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:10,0,0
20:13,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:25,0,0
20:28,0,0
20:31,0,0
20:34,0,0
20:37,0,0
20:40,0,0
20:43,0,0
20:46,0,0
20:49,0,0
20:52,0,0
20:55,0,0
20:58,0,0
21:01,0,0
21:04,0,0
21:07,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:41,0,0
22:47,0,0
22:52,0,0
22:58,0,0
23:04,0,0
23:10,0,0
23:16,0,0
23:22,0,0
23:28,0,0
23:34,0,0
23:40,0,0
23:46,0,0
23:52,0,0
23:58,0,0
