时间,是否始发站,是否终到站
05:27,0,0
05:36,0,0
05:43,0,0
05:51,0,0
05:58,0,0
06:06,0,0
06:14,0,0
06:21,0,0
06:28,0,0
06:36,0,0
06:43,0,0
06:50,0,0
06:54,0,0
06:58,0,0
07:02,0,0
07:06,0,0
07:09,0,0
07:13,0,0
07:17,0,0
07:20,0,0
07:23,0,0
07:26,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:41,0,0
07:44,0,0
07:47,0,0
07:50,0,0
07:53,0,0
07:56,0,0
07:59,0,0
08:02,0,0
08:05,0,0
08:08,0,0
08:11,0,0
08:14,0,0
08:17,0,0
08:20,0,0
08:23,0,0
08:26,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:53,0,0
08:55,0,0
09:01,0,0
09:06,0,0
09:09,0,0
09:11,0,0
09:15,0,0
09:20,0,0
09:24,0,0
09:28,0,0
09:30,0,0
09:33,0,0
09:36,0,0
09:39,0,0
09:42,0,0
09:45,0,0
09:47,0,0
09:50,0,0
09:53,0,0
09:57,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:09,0,0
10:12,0,0
10:15,0,0
10:18,0,0
10:21,0,0
10:24,0,0
10:27,0,0
10:31,0,0
10:34,0,0
10:37,0,0
10:40,0,0
10:44,0,0
10:47,0,0
10:50,0,0
10:56,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:28,0,0
11:34,0,0
11:41,0,0
11:48,0,0
11:55,0,0
12:02,0,0
12:09,0,0
12:16,0,0
12:23,0,0
12:30,0,0
12:37,0,0
12:44,0,0
12:51,0,0
12:58,0,0
13:05,0,0
13:12,0,0
13:19,0,0
13:26,0,0
13:33,0,0
13:40,0,0
13:47,0,0
13:54,0,0
14:01,0,0
14:08,0,0
14:15,0,0
14:22,0,0
14:29,0,0
14:36,0,0
14:43,0,0
14:50,0,0
14:57,0,0
15:04,0,0
15:11,0,0
15:18,0,0
15:25,0,0
15:32,0,0
15:39,0,0
15:46,0,0
15:53,0,0
16:00,0,0
16:07,0,0
16:14,0,0
16:21,0,0
16:25,0,0
16:31,0,0
16:34,0,0
16:39,0,0
16:43,0,0
16:47,0,0
16:51,0,0
16:55,0,0
16:58,0,0
17:01,0,0
17:04,0,0
17:07,0,0
17:10,0,0
17:13,0,0
17:16,0,0
17:18,0,0
17:22,0,0
17:25,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:04,0,0
19:07,0,0
19:10,0,0
19:13,0,0
19:16,0,0
19:19,0,0
19:22,0,0
19:25,0,0
19:28,0,0
19:31,0,0
19:34,0,0
19:37,0,0
19:40,0,0
19:43,0,0
19:46,0,0
19:49,0,0
19:52,0,0
19:55,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:23,0,0
20:26,0,0
20:29,0,0
20:32,0,0
20:35,0,0
20:38,0,0
20:41,0,0
20:44,0,0
20:47,0,0
20:50,0,0
20:53,0,0
20:56,0,0
20:59,0,0
21:02,0,0
21:05,0,0
21:09,0,0
21:15,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:39,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:39,0,0
22:45,0,0
22:50,0,0
22:56,0,0
23:02,0,0
23:08,0,0
23:14,0,0
23:20,0,0
23:26,0,0
23:32,0,0
23:38,0,0
23:44,0,0
23:50,0,0
23:56,0,0
