时间,是否始发站,是否终到站
05:22,1,0
05:30,1,0
05:38,1,0
05:46,1,0
05:53,1,0
06:00,1,0
06:09,1,0
06:12,0,0
06:17,1,0
06:21,0,0
06:25,1,0
06:29,0,0
06:34,1,0
06:36,0,0
06:41,1,0
06:44,0,0
06:49,1,0
06:52,0,0
06:56,1,0
06:59,0,0
07:04,1,0
07:07,0,0
07:11,1,0
07:14,0,0
07:18,1,0
07:22,0,0
07:26,1,0
07:28,0,0
07:32,1,0
07:35,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:52,0,0
07:53,0,0
07:57,0,0
08:02,0,0
08:04,0,0
08:08,0,0
08:11,0,0
08:13,0,0
08:17,0,0
08:20,0,0
08:22,0,0
08:26,0,0
08:29,0,0
08:31,0,0
08:35,0,0
08:37,0,1
08:39,0,0
08:41,0,0
08:44,0,0
08:47,0,0
08:49,0,1
08:51,0,0
08:53,0,0
08:56,0,0
08:58,0,1
09:00,0,1
09:02,0,0
09:05,0,1
09:08,0,0
09:10,0,1
09:12,0,0
09:14,0,1
09:16,0,0
09:18,0,1
09:20,0,0
09:22,0,0
09:24,0,1
09:26,0,0
09:28,0,0
09:30,0,1
09:32,0,0
09:34,0,1
09:36,0,0
09:38,0,0
09:40,0,1
09:42,0,0
09:45,0,0
09:47,0,1
09:50,0,0
09:52,0,1
09:54,0,0
09:56,0,1
09:58,0,0
10:00,0,0
10:02,0,0
10:04,0,1
10:08,0,0
10:10,0,1
10:12,0,0
10:15,0,0
10:18,0,1
10:21,0,0
10:24,0,0
10:27,0,0
10:30,0,1
10:32,0,0
10:35,0,1
10:38,0,0
10:42,0,0
10:45,0,0
10:48,0,1
10:51,0,0
10:54,0,1
10:57,0,0
11:00,0,1
11:03,0,0
11:06,0,1
11:09,0,0
11:12,0,1
11:15,0,0
11:19,0,1
11:21,0,0
11:25,0,1
11:29,0,0
11:32,0,1
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:06,0,0
12:12,0,0
12:19,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:41,0,0
15:48,0,0
15:55,0,0
16:02,0,0
16:09,0,0
16:16,0,0
16:23,0,0
16:30,0,0
16:37,0,0
16:44,0,0
16:51,0,0
16:58,0,0
17:05,0,0
17:10,0,0
17:16,0,0
17:19,0,0
17:24,0,0
17:28,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:43,0,0
17:46,0,0
17:49,0,0
17:52,0,0
17:55,0,0
17:58,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:29,0,1
19:30,0,0
19:33,0,0
19:35,0,1
19:37,0,0
19:39,0,0
19:41,0,1
19:43,0,0
19:45,0,1
19:49,0,0
19:52,0,0
19:55,0,1
19:58,0,0
20:01,0,1
20:04,0,0
20:07,0,1
20:10,0,0
20:13,0,1
20:16,0,0
20:19,0,1
20:22,0,0
20:25,0,1
20:28,0,0
20:31,0,1
20:34,0,0
20:37,0,1
20:40,0,0
20:43,0,1
20:46,0,0
20:50,0,1
20:53,0,0
20:56,0,1
20:59,0,0
21:02,0,1
21:05,0,0
21:08,0,1
21:11,0,0
21:14,0,1
21:17,0,0
21:20,0,1
21:23,0,0
21:26,0,1
21:29,0,0
21:32,0,1
21:35,0,0
21:38,0,1
21:41,0,0
21:44,0,1
21:47,0,0
21:50,0,1
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:41,0,0
22:47,0,0
22:53,0,0
22:59,0,0
23:05,0,0
23:11,0,0
23:17,0,0
23:23,0,0
23:31,0,0
23:35,0,1
23:41,0,1
23:47,0,1
23:53,0,1
23:59,0,1
00:05,0,1
00:11,0,1
00:17,0,1
00:23,0,1
00:29,0,1
00:35,0,1
00:42,0,1
