时间,是否始发站,是否终到站
05:35,0,0
05:44,0,0
05:51,0,0
05:59,0,0
06:07,0,0
06:14,0,0
06:22,0,0
06:29,0,0
06:36,0,0
06:44,0,0
06:51,0,0
06:58,0,0
07:02,0,0
07:06,0,0
07:10,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:34,0,0
07:37,0,0
07:40,0,0
07:43,0,0
07:46,0,0
07:49,0,0
07:52,0,0
07:55,0,0
07:58,0,0
08:01,0,0
08:04,0,0
08:07,0,0
08:10,0,0
08:13,0,0
08:16,0,0
08:19,0,0
08:22,0,0
08:25,0,0
08:28,0,0
08:31,0,0
08:34,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:58,0,0
09:00,0,0
09:03,0,0
09:05,0,0
09:08,0,0
09:11,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:27,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:38,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:17,0,0
10:20,0,0
10:23,0,0
10:26,0,0
10:29,0,0
10:32,0,0
10:35,0,0
10:38,0,0
10:41,0,0
10:44,0,0
10:48,0,0
10:52,0,0
10:55,0,0
10:58,0,0
11:04,0,0
11:10,0,0
11:16,0,0
11:22,0,0
11:29,0,0
11:35,0,0
11:42,0,0
11:48,0,0
11:55,0,0
12:02,0,0
12:09,0,0
12:16,0,0
12:23,0,0
12:30,0,0
12:37,0,0
12:44,0,0
12:51,0,0
12:58,0,0
13:05,0,0
13:12,0,0
13:19,0,0
13:26,0,0
13:33,0,0
13:40,0,0
13:47,0,0
13:54,0,0
14:01,0,0
14:08,0,0
14:15,0,0
14:22,0,0
14:29,0,0
14:36,0,0
14:43,0,0
14:50,0,0
14:57,0,0
15:04,0,0
15:11,0,0
15:18,0,0
15:25,0,0
15:32,0,0
15:39,0,0
15:46,0,0
15:53,0,0
16:00,0,0
16:07,0,0
16:14,0,0
16:21,0,0
16:28,0,0
16:33,0,0
16:39,0,0
16:42,0,0
16:47,0,0
16:51,0,0
16:55,0,0
16:59,0,0
17:03,0,0
17:06,0,0
17:09,0,0
17:12,0,0
17:15,0,0
17:18,0,0
17:21,0,0
17:24,0,0
17:27,0,0
17:30,0,0
17:33,0,0
17:37,0,0
17:40,0,0
17:43,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:12,0,0
19:15,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:27,0,0
19:30,0,0
19:33,0,0
19:36,0,0
19:39,0,0
19:42,0,0
19:45,0,0
19:48,0,0
19:51,0,0
19:54,0,0
19:57,0,0
20:00,0,0
20:03,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:25,0,0
20:28,0,0
20:31,0,0
20:34,0,0
20:37,0,0
20:40,0,0
20:43,0,0
20:46,0,0
20:49,0,0
20:52,0,0
20:55,0,0
20:58,0,0
21:01,0,0
21:04,0,0
21:07,0,0
21:10,0,0
21:13,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:46,0,0
22:53,0,0
22:58,0,0
23:04,0,0
23:10,0,0
23:16,0,0
23:22,0,0
23:28,0,0
23:34,0,0
23:40,0,0
23:46,0,0
23:52,0,0
23:58,0,0
00:04,0,0
