时间,是否始发站,是否终到站
05:28,0,0
05:36,0,0
05:44,0,0
05:52,0,0
06:00,0,0
06:06,0,0
06:15,0,0
06:19,0,0
06:23,0,0
06:27,0,0
06:31,0,0
06:35,0,0
06:40,0,0
06:43,0,0
06:47,0,0
06:50,0,0
06:55,0,0
06:58,0,0
07:02,0,0
07:05,0,0
07:10,0,0
07:13,0,0
07:17,0,0
07:20,0,0
07:24,0,0
07:28,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:41,0,0
07:45,0,0
07:49,0,0
07:53,0,0
07:56,0,0
07:59,0,0
08:04,0,0
08:07,0,0
08:10,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:32,0,0
08:34,0,0
08:37,0,0
08:41,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:08,0,0
09:14,0,0
09:18,0,0
09:22,0,0
09:26,0,0
09:28,0,0
09:32,0,0
09:34,0,0
09:38,0,0
09:42,0,0
09:44,0,0
09:48,0,0
09:52,0,0
09:56,0,0
10:00,0,0
10:04,0,0
10:06,0,0
10:08,0,0
10:15,0,0
10:19,0,0
10:21,0,0
10:27,0,0
10:30,0,0
10:33,0,0
10:38,0,0
10:44,0,0
10:48,0,0
10:51,0,0
10:57,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:22,0,0
11:28,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:19,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:41,0,0
15:48,0,0
15:55,0,0
16:02,0,0
16:09,0,0
16:16,0,0
16:23,0,0
16:30,0,0
16:37,0,0
16:44,0,0
16:51,0,0
16:58,0,0
17:05,0,0
17:12,0,0
17:16,0,0
17:22,0,0
17:25,0,0
17:30,0,0
17:34,0,0
17:38,0,0
17:42,0,0
17:46,0,0
17:49,0,0
17:52,0,0
17:55,0,0
17:58,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:13,0,0
18:16,0,0
18:19,0,0
18:21,0,1
18:23,0,0
18:25,0,0
18:27,0,1
18:29,0,0
18:32,0,0
18:34,0,0
18:36,0,1
18:38,0,0
18:40,0,0
18:42,0,1
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,1
18:53,0,0
18:55,0,0
18:57,0,1
19:00,0,0
19:02,0,0
19:04,0,1
19:06,0,0
19:08,0,0
19:11,0,0
19:13,0,1
19:15,0,0
19:17,0,0
19:19,0,0
19:21,0,1
19:24,0,0
19:26,0,0
19:28,0,0
19:30,0,1
19:32,0,0
19:37,0,0
19:39,0,0
19:43,0,0
19:45,0,0
19:50,0,0
19:55,0,0
19:58,0,0
20:04,0,0
20:10,0,0
20:16,0,0
20:22,0,0
20:28,0,0
20:34,0,0
20:40,0,0
20:46,0,0
20:52,0,0
20:59,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:53,0,0
22:00,0,0
22:06,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:54,0,0
23:00,0,0
23:06,0,0
23:12,0,0
23:18,0,0
23:24,0,0
23:30,0,0
23:37,0,0
