时间,是否始发站,是否终到站
05:37,0,0
05:45,0,0
05:53,0,0
06:01,0,0
06:08,0,0
06:15,0,0
06:24,0,0
06:27,0,0
06:32,0,0
06:36,0,0
06:40,0,0
06:44,0,0
06:49,0,0
06:51,0,0
06:56,0,0
06:59,0,0
07:04,0,0
07:07,0,0
07:11,0,0
07:14,0,0
07:19,0,0
07:21,0,0
07:26,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:41,0,0
07:43,0,0
07:47,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:04,0,0
08:08,0,0
08:13,0,0
08:14,0,0
08:19,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:32,0,0
08:34,0,0
08:37,0,0
08:41,0,0
08:43,0,0
08:46,0,0
08:50,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:06,0,0
09:08,0,0
09:11,0,0
09:17,0,0
09:23,0,0
09:27,0,0
09:31,0,0
09:35,0,0
09:37,0,0
09:41,0,0
09:43,0,0
09:47,0,0
09:51,0,0
09:53,0,0
09:58,0,0
10:01,0,0
10:05,0,0
10:09,0,0
10:13,0,0
10:15,0,0
10:17,0,0
10:24,0,0
10:28,0,0
10:30,0,0
10:36,0,0
10:39,0,0
10:42,0,0
10:47,0,0
10:53,0,0
10:57,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:31,0,0
11:37,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:28,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:50,0,0
15:57,0,0
16:04,0,0
16:11,0,0
16:18,0,0
16:25,0,0
16:32,0,0
16:39,0,0
16:46,0,0
16:53,0,0
17:00,0,0
17:07,0,0
17:14,0,0
17:21,0,0
17:25,0,0
17:31,0,0
17:34,0,0
17:39,0,0
17:43,0,0
17:47,0,0
17:51,0,0
17:55,0,0
17:58,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:13,0,0
18:16,0,0
18:19,0,0
18:22,0,0
18:25,0,0
18:28,0,0
18:32,0,0
18:34,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:47,0,0
18:49,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:02,0,0
19:04,0,0
19:09,0,0
19:11,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:33,0,0
19:35,0,0
19:37,0,0
19:41,0,0
19:46,0,0
19:48,0,0
19:52,0,0
19:54,0,0
19:59,0,0
20:04,0,0
20:07,0,0
20:13,0,0
20:19,0,0
20:25,0,0
20:31,0,0
20:37,0,0
20:43,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:39,0,0
22:45,0,0
22:51,0,0
22:57,0,0
23:03,0,0
23:09,0,0
23:15,0,0
23:21,0,0
23:27,0,0
23:33,0,0
23:39,0,0
23:46,0,0
