时间,是否始发站,是否终到站
05:56,0,0
06:05,0,0
06:12,0,0
06:20,0,0
06:27,0,0
06:35,0,0
06:43,0,0
06:50,0,0
06:57,0,0
07:05,0,0
07:12,0,0
07:18,0,0
07:22,0,0
07:26,0,0
07:30,0,0
07:34,0,0
07:37,0,0
07:41,0,0
07:45,0,0
07:48,0,0
07:51,0,0
07:54,0,0
07:57,0,0
08:00,0,0
08:03,0,0
08:06,0,0
08:09,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:25,0,0
08:27,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:48,0,0
09:52,0,0
09:54,0,0
09:56,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:15,0,0
10:18,0,0
10:21,0,0
10:25,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:37,0,0
10:40,0,0
10:43,0,0
10:46,0,0
10:49,0,0
10:52,0,0
10:55,0,0
10:59,0,0
11:02,0,0
11:05,0,0
11:08,0,0
11:12,0,0
11:15,0,0
11:18,0,0
11:24,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:56,0,0
12:02,0,0
12:09,0,0
12:16,0,0
12:23,0,0
12:30,0,0
12:37,0,0
12:44,0,0
12:51,0,0
12:58,0,0
13:05,0,0
13:12,0,0
13:19,0,0
13:26,0,0
13:33,0,0
13:40,0,0
13:47,0,0
13:54,0,0
14:01,0,0
14:08,0,0
14:15,0,0
14:22,0,0
14:29,0,0
14:36,0,0
14:43,0,0
14:50,0,0
14:57,0,0
15:04,0,0
15:11,0,0
15:18,0,0
15:25,0,0
15:32,0,0
15:39,0,0
15:46,0,0
15:53,0,0
16:00,0,0
16:07,0,0
16:14,0,0
16:21,0,0
16:28,0,0
16:35,0,0
16:42,0,0
16:49,0,0
16:53,0,0
16:59,0,0
17:02,0,0
17:07,0,0
17:11,0,0
17:15,0,0
17:19,0,0
17:23,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:41,0,0
17:44,0,0
17:47,0,0
17:50,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:27,0,0
19:29,0,0
19:32,0,0
19:35,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:56,0,0
19:59,0,0
20:02,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:23,0,0
20:26,0,0
20:29,0,0
20:33,0,0
20:36,0,0
20:39,0,0
20:42,0,0
20:45,0,0
20:48,0,0
20:51,0,0
20:54,0,0
20:57,0,0
21:00,0,0
21:03,0,0
21:06,0,0
21:09,0,0
21:12,0,0
21:15,0,0
21:18,0,0
21:21,0,0
21:24,0,0
21:27,0,0
21:30,0,0
21:33,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:43,0,0
22:49,0,0
22:55,0,0
23:01,0,0
23:07,0,0
23:14,0,0
23:18,0,0
23:24,0,0
23:30,0,0
23:36,0,0
23:42,0,0
23:48,0,0
23:54,0,0
00:00,0,0
00:06,0,0
00:12,0,0
00:18,0,0
00:25,0,0
