时间,是否始发站,是否终到站
06:01,0,0
06:10,0,0
06:17,0,0
06:25,0,0
06:33,0,0
06:40,0,0
06:48,0,0
06:55,0,0
07:02,0,0
07:11,0,0
07:17,0,0
07:24,0,0
07:28,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:46,0,0
07:50,0,0
07:53,0,0
07:56,0,0
07:59,0,0
08:02,0,0
08:05,0,0
08:08,0,0
08:11,0,0
08:14,0,0
08:17,0,0
08:20,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:30,0,0
08:32,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:47,0,0
09:49,0,0
09:51,0,0
09:53,0,0
09:57,0,0
09:59,0,0
10:01,0,0
10:03,0,0
10:06,0,0
10:09,0,0
10:12,0,0
10:15,0,0
10:18,0,0
10:20,0,0
10:23,0,0
10:26,0,0
10:30,0,0
10:33,0,0
10:36,0,0
10:39,0,0
10:42,0,0
10:45,0,0
10:48,0,0
10:51,0,0
10:54,0,0
10:57,0,0
11:00,0,0
11:04,0,0
11:07,0,0
11:10,0,0
11:13,0,0
11:17,0,0
11:20,0,0
11:23,0,0
11:29,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:01,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:30,0,0
15:37,0,0
15:44,0,0
15:51,0,0
15:58,0,0
16:05,0,0
16:12,0,0
16:19,0,0
16:26,0,0
16:33,0,0
16:40,0,0
16:47,0,0
16:54,0,0
16:58,0,0
17:04,0,0
17:08,0,0
17:12,0,0
17:16,0,0
17:20,0,0
17:24,0,0
17:28,0,0
17:31,0,0
17:34,0,0
17:37,0,0
17:40,0,0
17:43,0,0
17:46,0,0
17:49,0,0
17:52,0,0
17:55,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:23,0,0
19:25,0,0
19:27,0,0
19:30,0,0
19:32,0,0
19:34,0,0
19:37,0,0
19:40,0,0
19:43,0,0
19:46,0,0
19:49,0,0
19:52,0,0
19:55,0,0
19:58,0,0
20:01,0,0
20:04,0,0
20:07,0,0
20:10,0,0
20:13,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:25,0,0
20:28,0,0
20:31,0,0
20:34,0,0
20:38,0,0
20:41,0,0
20:44,0,0
20:47,0,0
20:50,0,0
20:53,0,0
20:56,0,0
20:59,0,0
21:02,0,0
21:05,0,0
21:08,0,0
21:11,0,0
21:14,0,0
21:17,0,0
21:20,0,0
21:23,0,0
21:26,0,0
21:29,0,0
21:32,0,0
21:35,0,0
21:38,0,0
21:42,0,0
21:48,0,0
21:54,0,0
22:00,0,0
22:06,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:54,0,0
23:00,0,0
23:06,0,0
23:12,0,0
23:19,0,0
23:23,0,0
23:29,0,0
23:35,0,0
23:41,0,0
23:47,0,0
23:53,0,0
23:59,0,0
00:05,0,0
00:11,0,0
00:17,0,0
00:23,0,0
00:30,0,0
