时间,是否始发站,是否终到站
05:22,0,0
05:30,0,0
05:38,0,0
05:44,0,0
05:48,0,0
05:53,0,0
05:57,0,0
06:01,0,0
06:04,0,0
06:08,0,0
06:12,0,0
06:14,0,0
06:18,0,0
06:21,0,0
06:24,0,0
06:27,0,0
06:30,0,0
06:34,0,0
06:37,0,0
06:40,0,0
06:44,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:43,0,0
07:45,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:55,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:05,0,0
08:07,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:10,0,0
10:15,0,0
10:22,0,0
10:29,0,0
10:36,0,0
10:43,0,0
10:50,0,0
10:57,0,0
11:04,0,0
11:11,0,0
11:18,0,0
11:25,0,0
11:32,0,0
11:39,0,0
11:46,0,0
11:53,0,0
12:00,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:31,0,0
15:35,0,0
15:39,0,0
15:42,0,0
15:46,0,0
15:50,0,0
15:55,0,0
15:58,0,0
16:01,0,0
16:04,0,0
16:07,0,0
16:10,0,0
16:13,0,0
16:16,0,0
16:19,0,0
16:22,0,0
16:25,0,0
16:28,0,0
16:31,0,0
16:34,0,0
16:37,0,0
16:40,0,0
16:43,0,0
16:46,0,0
16:49,0,0
16:51,0,0
16:53,0,0
16:55,0,0
16:57,0,0
17:00,0,0
17:02,0,0
17:04,0,0
17:06,0,0
17:08,0,0
17:10,0,0
17:15,0,0
17:17,0,0
17:21,0,0
17:23,0,0
17:28,0,0
17:30,0,0
17:34,0,0
17:36,0,0
17:41,0,0
17:43,0,0
17:47,0,0
17:49,0,0
17:54,0,0
17:56,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:25,0,0
18:27,0,0
18:30,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:52,0,0
18:54,0,0
18:57,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:11,0,0
19:13,0,0
19:16,0,0
19:20,0,0
19:22,0,0
19:25,0,0
19:29,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:40,0,0
19:43,0,0
19:47,0,0
19:49,0,0
19:52,0,0
19:56,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:11,0,0
20:16,0,0
20:22,0,0
20:28,0,0
20:34,0,0
20:40,0,0
20:46,0,0
20:52,0,0
20:58,0,0
21:04,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:46,0,0
22:52,0,0
22:58,0,0
23:05,0,0
23:14,0,0
23:24,0,0
23:35,0,0
23:48,0,0
00:01,0,0
00:15,0,0
