时间,是否始发站,是否终到站
04:53,0,0
05:00,0,0
05:08,0,0
05:16,0,0
05:23,0,0
05:30,0,0
05:36,0,0
05:39,0,0
05:46,0,0
05:49,0,0
05:55,0,0
06:03,0,0
06:09,0,0
06:15,0,0
06:21,0,0
06:24,0,0
06:27,0,0
06:33,0,0
06:36,0,0
06:41,0,0
06:44,0,0
06:49,0,0
06:51,0,0
06:56,0,0
06:59,0,0
07:04,0,0
07:06,0,0
07:11,0,0
07:14,0,0
07:16,0,0
07:21,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:39,0,0
07:43,0,0
07:45,0,0
07:49,0,0
07:51,0,0
07:55,0,0
07:57,0,0
08:01,0,0
08:03,0,0
08:07,0,0
08:09,0,0
08:13,0,0
08:15,0,0
08:19,0,0
08:23,0,0
08:25,0,0
08:29,0,0
08:33,0,0
08:35,0,0
08:39,0,0
08:42,0,0
08:44,0,0
08:49,0,0
08:53,0,0
08:56,0,0
09:01,0,0
09:05,0,0
09:08,0,0
09:11,0,0
09:14,0,0
09:17,0,0
09:21,0,0
09:26,0,0
09:31,0,0
09:38,0,0
09:45,0,0
09:52,0,0
09:59,0,0
10:06,0,0
10:13,0,0
10:20,0,0
10:27,0,0
10:34,0,0
10:41,0,0
10:48,0,0
10:55,0,0
11:02,0,0
11:09,0,0
11:16,0,0
11:23,0,0
11:30,0,0
11:37,0,0
11:44,0,0
11:51,0,0
11:58,0,0
12:05,0,0
12:12,0,0
12:19,0,0
12:26,0,0
12:33,0,0
12:40,0,0
12:47,0,0
12:54,0,0
13:01,0,0
13:08,0,0
13:15,0,0
13:22,0,0
13:29,0,0
13:36,0,0
13:43,0,0
13:50,0,0
13:57,0,0
14:04,0,0
14:11,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:51,0,0
14:58,0,0
15:02,0,0
15:06,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:35,0,0
15:41,0,0
15:47,0,0
15:53,0,0
15:56,0,0
16:02,0,0
16:07,0,0
16:09,0,0
16:13,0,0
16:18,0,0
16:22,0,0
16:24,0,0
16:31,0,0
16:37,0,0
16:44,0,0
16:50,0,0
16:52,0,0
16:57,0,0
16:59,0,0
17:03,0,0
17:05,0,0
17:10,0,0
17:12,0,0
17:17,0,0
17:23,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:48,0,0
17:50,0,0
17:53,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:15,0,0
18:18,0,0
18:21,0,0
18:25,0,0
18:27,0,0
18:30,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:52,0,0
18:54,0,0
18:57,0,0
19:01,0,0
19:03,0,0
19:06,0,0
19:10,0,0
19:12,0,0
19:15,0,0
19:19,0,0
19:21,0,0
19:27,0,0
19:32,0,0
19:38,0,0
19:44,0,0
19:50,0,0
19:56,0,0
20:02,0,0
20:08,0,0
20:14,0,0
20:20,0,0
20:26,0,0
20:32,0,0
20:38,0,0
20:44,0,0
20:50,0,0
20:56,0,0
21:02,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:14,0,0
22:21,0,0
22:29,0,0
22:39,0,0
22:50,0,0
23:03,0,0
23:16,0,0
23:30,0,0
