时间,是否始发站,是否终到站
05:16,0,0
05:25,0,0
05:32,0,0
05:39,0,0
05:43,0,0
05:48,0,0
05:52,0,0
05:55,0,0
05:59,0,0
06:03,0,0
06:07,0,0
06:09,0,0
06:13,0,0
06:15,0,0
06:18,0,0
06:22,0,0
06:25,0,0
06:28,0,0
06:31,0,0
06:34,0,0
06:38,0,0
06:41,0,0
06:44,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:20,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:32,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:59,0,0
10:05,0,0
10:10,0,0
10:16,0,0
10:23,0,0
10:30,0,0
10:37,0,0
10:44,0,0
10:51,0,0
10:58,0,0
11:05,0,0
11:12,0,0
11:19,0,0
11:26,0,0
11:33,0,0
11:40,0,0
11:47,0,0
11:54,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:22,0,0
12:29,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:36,0,0
14:42,0,0
14:49,0,0
14:56,0,0
15:03,0,0
15:10,0,0
15:16,0,0
15:23,0,0
15:26,0,0
15:30,0,0
15:34,0,0
15:37,0,0
15:41,0,0
15:45,0,0
15:50,0,0
15:53,0,0
15:56,0,0
15:59,0,0
16:02,0,0
16:05,0,0
16:08,0,0
16:11,0,0
16:14,0,0
16:17,0,0
16:20,0,0
16:23,0,0
16:26,0,0
16:29,0,0
16:32,0,0
16:35,0,0
16:38,0,0
16:41,0,0
16:44,0,0
16:46,0,0
16:48,0,0
16:50,0,0
16:52,0,0
16:54,0,0
16:57,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:10,0,0
17:12,0,0
17:16,0,0
17:18,0,0
17:23,0,0
17:25,0,0
17:29,0,0
17:31,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:59,0,0
18:02,0,0
18:05,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:16,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:05,0,0
19:08,0,0
19:11,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:24,0,0
19:26,0,0
19:29,0,0
19:33,0,0
19:35,0,0
19:38,0,0
19:42,0,0
19:44,0,0
19:47,0,0
19:51,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:06,0,0
20:11,0,0
20:17,0,0
20:23,0,0
20:29,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:36,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:41,0,0
22:47,0,0
22:53,0,0
23:00,0,0
23:08,0,0
23:18,0,0
23:29,0,0
23:42,0,0
23:55,0,0
00:09,0,0
