时间,是否始发站,是否终到站
05:36,0,0
05:45,0,0
05:53,0,0
05:59,0,0
06:03,0,0
06:08,0,0
06:12,0,0
06:15,0,0
06:19,0,0
06:23,0,0
06:27,0,0
06:29,0,0
06:33,0,0
06:35,0,0
06:38,0,0
06:42,0,0
06:45,0,0
06:49,0,0
06:52,0,0
06:54,0,0
06:58,0,0
07:01,0,0
07:04,0,0
07:07,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:19,0,0
07:22,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:57,0,0
07:59,0,0
08:02,0,0
08:04,0,0
08:07,0,0
08:09,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:25,0,0
08:27,0,0
08:31,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:47,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:15,0,0
09:17,0,0
09:21,0,0
09:23,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:48,0,0
09:51,0,0
09:54,0,0
09:57,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:09,0,0
10:12,0,0
10:15,0,0
10:19,0,0
10:24,0,0
10:29,0,0
10:36,0,0
10:43,0,0
10:50,0,0
10:57,0,0
11:04,0,0
11:11,0,0
11:18,0,0
11:25,0,0
11:32,0,0
11:39,0,0
11:46,0,0
11:53,0,0
12:00,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:30,0,0
15:36,0,0
15:42,0,0
15:46,0,0
15:49,0,0
15:53,0,0
15:56,0,0
16:00,0,0
16:04,0,0
16:09,0,0
16:13,0,0
16:16,0,0
16:19,0,0
16:22,0,0
16:25,0,0
16:28,0,0
16:31,0,0
16:34,0,0
16:37,0,0
16:40,0,0
16:43,0,0
16:46,0,0
16:49,0,0
16:52,0,0
16:54,0,0
16:57,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:29,0,0
17:31,0,0
17:36,0,0
17:38,0,0
17:42,0,0
17:44,0,0
17:49,0,0
17:51,0,0
17:55,0,0
17:57,0,0
18:02,0,0
18:04,0,0
18:08,0,0
18:10,0,0
18:15,0,0
18:18,0,0
18:21,0,0
18:24,0,0
18:27,0,0
18:30,0,0
18:33,0,0
18:36,0,0
18:39,0,0
18:42,0,0
18:45,0,0
18:48,0,0
18:51,0,0
18:54,0,0
18:57,0,0
19:00,0,0
19:03,0,0
19:06,0,0
19:09,0,0
19:12,0,0
19:16,0,0
19:19,0,0
19:22,0,0
19:25,0,0
19:28,0,0
19:31,0,0
19:34,0,0
19:37,0,0
19:40,0,0
19:43,0,0
19:46,0,0
19:49,0,0
19:52,0,0
19:55,0,0
19:58,0,0
20:01,0,0
20:04,0,0
20:07,0,0
20:10,0,0
20:13,0,0
20:16,0,0
20:19,0,0
20:25,0,0
20:30,0,0
20:36,0,0
20:42,0,0
20:48,0,0
20:54,0,0
21:00,0,0
21:06,0,0
21:12,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:36,0,0
21:42,0,0
21:48,0,0
21:54,0,0
22:00,0,0
22:06,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:54,0,0
23:00,0,0
23:06,0,0
23:12,0,0
23:20,0,0
23:29,0,0
23:39,0,0
23:50,0,0
00:03,0,0
00:16,0,0
00:30,0,0
