时间,是否始发站,是否终到站
05:27,0,0
05:36,0,0
05:44,0,0
05:50,0,0
05:54,0,0
05:59,0,0
06:03,0,0
06:06,0,0
06:10,0,0
06:14,0,0
06:18,0,0
06:20,0,0
06:24,0,0
06:27,0,0
06:30,0,0
06:33,0,0
06:36,0,0
06:40,0,0
06:43,0,0
06:45,0,0
06:49,0,0
06:52,0,0
06:55,0,0
06:58,0,0
07:01,0,0
07:04,0,0
07:07,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:19,0,0
07:22,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:56,0,0
07:58,0,0
08:01,0,0
08:03,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:23,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:25,0,0
09:29,0,0
09:31,0,0
09:35,0,0
09:39,0,0
09:43,0,0
09:45,0,0
09:48,0,0
09:51,0,0
09:54,0,0
09:57,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:10,0,0
10:16,0,0
10:21,0,0
10:27,0,0
10:34,0,0
10:41,0,0
10:48,0,0
10:55,0,0
11:02,0,0
11:09,0,0
11:16,0,0
11:23,0,0
11:30,0,0
11:37,0,0
11:44,0,0
11:51,0,0
11:58,0,0
12:05,0,0
12:12,0,0
12:19,0,0
12:26,0,0
12:33,0,0
12:40,0,0
12:47,0,0
12:54,0,0
13:01,0,0
13:08,0,0
13:15,0,0
13:22,0,0
13:29,0,0
13:36,0,0
13:43,0,0
13:50,0,0
13:57,0,0
14:04,0,0
14:11,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:39,0,0
14:46,0,0
14:53,0,0
15:00,0,0
15:07,0,0
15:14,0,0
15:21,0,0
15:27,0,0
15:33,0,0
15:37,0,0
15:40,0,0
15:44,0,0
15:47,0,0
15:51,0,0
15:55,0,0
16:00,0,0
16:04,0,0
16:07,0,0
16:10,0,0
16:13,0,0
16:16,0,0
16:19,0,0
16:22,0,0
16:25,0,0
16:28,0,0
16:31,0,0
16:34,0,0
16:37,0,0
16:40,0,0
16:43,0,0
16:45,0,0
16:48,0,0
16:51,0,0
16:54,0,0
16:56,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:09,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:20,0,0
17:22,0,0
17:27,0,0
17:29,0,0
17:33,0,0
17:35,0,0
17:40,0,0
17:42,0,0
17:46,0,0
17:48,0,0
17:53,0,0
17:55,0,0
17:59,0,0
18:01,0,0
18:06,0,0
18:09,0,0
18:13,0,0
18:16,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:08,0,0
19:10,0,0
19:13,0,0
19:16,0,0
19:19,0,0
19:22,0,0
19:26,0,0
19:28,0,0
19:31,0,0
19:35,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:46,0,0
19:49,0,0
19:53,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:04,0,0
20:07,0,0
20:11,0,0
20:17,0,0
20:22,0,0
20:28,0,0
20:34,0,0
20:40,0,0
20:46,0,0
20:52,0,0
20:58,0,0
21:04,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:46,0,0
22:52,0,0
22:58,0,0
23:04,0,0
23:11,0,0
23:20,0,0
23:30,0,0
23:41,0,0
23:54,0,0
00:07,0,0
00:21,0,0
