时间,是否始发站,是否终到站
05:00,0,0
05:06,0,0
05:15,0,0
05:23,0,0
05:30,0,0
05:37,0,0
05:43,0,0
05:46,0,0
05:53,0,0
05:56,0,0
06:02,0,0
06:09,0,0
06:15,0,0
06:21,0,0
06:27,0,0
06:30,0,0
06:33,0,0
06:39,0,0
06:42,0,0
06:48,0,0
06:50,0,0
06:55,0,0
06:58,0,0
07:03,0,0
07:05,0,0
07:10,0,0
07:13,0,0
07:18,0,0
07:20,0,0
07:23,0,0
07:27,0,0
07:29,0,0
07:33,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:45,0,0
07:49,0,0
07:51,0,0
07:55,0,0
07:57,0,0
08:01,0,0
08:03,0,0
08:07,0,0
08:09,0,0
08:13,0,0
08:15,0,0
08:19,0,0
08:21,0,0
08:25,0,0
08:29,0,0
08:31,0,0
08:35,0,0
08:39,0,0
08:41,0,0
08:46,0,0
08:48,0,0
08:51,0,0
08:55,0,0
09:00,0,0
09:02,0,0
09:07,0,0
09:11,0,0
09:14,0,0
09:17,0,0
09:20,0,0
09:23,0,0
09:27,0,0
09:33,0,0
09:38,0,0
09:44,0,0
09:51,0,0
09:58,0,0
10:05,0,0
10:12,0,0
10:19,0,0
10:26,0,0
10:33,0,0
10:40,0,0
10:47,0,0
10:54,0,0
11:01,0,0
11:08,0,0
11:15,0,0
11:22,0,0
11:29,0,0
11:36,0,0
11:43,0,0
11:50,0,0
11:57,0,0
12:04,0,0
12:11,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:57,0,0
15:04,0,0
15:08,0,0
15:12,0,0
15:17,0,0
15:24,0,0
15:30,0,0
15:36,0,0
15:42,0,0
15:48,0,0
15:54,0,0
16:00,0,0
16:02,0,0
16:08,0,0
16:13,0,0
16:16,0,0
16:20,0,0
16:24,0,0
16:29,0,0
16:31,0,0
16:37,0,0
16:44,0,0
16:50,0,0
16:57,0,0
16:59,0,0
17:03,0,0
17:05,0,0
17:10,0,0
17:12,0,0
17:16,0,0
17:18,0,0
17:23,0,0
17:30,0,0
17:33,0,0
17:36,0,0
17:39,0,0
17:42,0,0
17:45,0,0
17:48,0,0
17:51,0,0
17:54,0,0
17:57,0,0
18:00,0,0
18:03,0,0
18:06,0,0
18:09,0,0
18:12,0,0
18:15,0,0
18:18,0,0
18:21,0,0
18:25,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:37,0,0
18:40,0,0
18:43,0,0
18:46,0,0
18:49,0,0
18:52,0,0
18:55,0,0
18:58,0,0
19:01,0,0
19:04,0,0
19:07,0,0
19:10,0,0
19:13,0,0
19:16,0,0
19:19,0,0
19:22,0,0
19:25,0,0
19:28,0,0
19:34,0,0
19:39,0,0
19:45,0,0
19:51,0,0
19:57,0,0
20:03,0,0
20:09,0,0
20:15,0,0
20:21,0,0
20:27,0,0
20:33,0,0
20:39,0,0
20:45,0,0
20:51,0,0
20:57,0,0
21:03,0,0
21:09,0,0
21:15,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:39,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:28,0,0
22:36,0,0
22:46,0,0
22:57,0,0
23:10,0,0
23:23,0,0
23:37,0,0
