时间,是否始发站,是否终到站
05:25,0,0
05:34,0,0
05:41,0,0
05:48,0,0
05:52,0,0
05:56,0,0
06:01,0,0
06:04,0,0
06:07,0,0
06:11,0,0
06:15,0,0
06:18,0,0
06:21,0,0
06:24,0,0
06:27,0,0
06:31,0,0
06:34,0,0
06:37,0,0
06:40,0,0
06:43,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:23,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:46,0,0
07:48,0,0
07:51,0,0
07:53,0,0
07:56,0,0
07:58,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:08,0,0
08:10,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:23,0,0
09:26,0,0
09:29,0,0
09:32,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:08,0,0
10:13,0,0
10:18,0,0
10:25,0,0
10:32,0,0
10:39,0,0
10:46,0,0
10:53,0,0
11:00,0,0
11:07,0,0
11:14,0,0
11:21,0,0
11:28,0,0
11:35,0,0
11:42,0,0
11:49,0,0
11:56,0,0
12:03,0,0
12:10,0,0
12:17,0,0
12:24,0,0
12:31,0,0
12:38,0,0
12:45,0,0
12:52,0,0
12:59,0,0
13:06,0,0
13:13,0,0
13:20,0,0
13:27,0,0
13:34,0,0
13:41,0,0
13:48,0,0
13:55,0,0
14:02,0,0
14:09,0,0
14:16,0,0
14:23,0,0
14:30,0,0
14:37,0,0
14:44,0,0
14:51,0,0
14:58,0,0
15:05,0,0
15:12,0,0
15:19,0,0
15:25,0,0
15:31,0,0
15:35,0,0
15:38,0,0
15:42,0,0
15:45,0,0
15:49,0,0
15:53,0,0
15:58,0,0
16:02,0,0
16:05,0,0
16:08,0,0
16:11,0,0
16:14,0,0
16:17,0,0
16:20,0,0
16:23,0,0
16:26,0,0
16:29,0,0
16:32,0,0
16:35,0,0
16:38,0,0
16:41,0,0
16:43,0,0
16:46,0,0
16:49,0,0
16:52,0,0
16:54,0,0
16:56,0,0
16:58,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:09,0,0
17:11,0,0
17:14,0,0
17:18,0,0
17:20,0,0
17:24,0,0
17:27,0,0
17:31,0,0
17:33,0,0
17:37,0,0
17:40,0,0
17:44,0,0
17:46,0,0
17:50,0,0
17:53,0,0
17:57,0,0
17:59,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:13,0,0
18:16,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:37,0,0
18:40,0,0
18:42,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:55,0,0
18:58,0,0
19:00,0,0
19:05,0,0
19:08,0,0
19:10,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:23,0,0
19:26,0,0
19:28,0,0
19:32,0,0
19:35,0,0
19:37,0,0
19:41,0,0
19:44,0,0
19:46,0,0
19:50,0,0
19:53,0,0
19:55,0,0
19:59,0,0
20:02,0,0
20:04,0,0
20:08,0,0
20:14,0,0
20:19,0,0
20:25,0,0
20:31,0,0
20:37,0,0
20:43,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:43,0,0
22:49,0,0
22:55,0,0
23:01,0,0
23:09,0,0
23:17,0,0
23:27,0,0
23:38,0,0
23:51,0,0
00:04,0,0
00:18,0,0
