时间,是否始发站,是否终到站
05:14,0,0
05:23,0,0
05:30,0,0
05:37,0,0
05:41,0,0
05:45,0,0
05:50,0,0
05:53,0,0
05:56,0,0
06:00,0,0
06:04,0,0
06:07,0,0
06:10,0,0
06:13,0,0
06:16,0,0
06:20,0,0
06:23,0,0
06:26,0,0
06:29,0,0
06:32,0,0
06:36,0,0
06:39,0,0
06:42,0,0
06:45,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:57,0,0
07:00,0,0
07:03,0,0
07:06,0,0
07:09,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:20,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:43,0,0
07:45,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:16,0,0
09:18,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:30,0,0
09:32,0,0
09:35,0,0
09:38,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:53,0,0
09:57,0,0
10:03,0,0
10:08,0,0
10:14,0,0
10:21,0,0
10:28,0,0
10:35,0,0
10:42,0,0
10:49,0,0
10:56,0,0
11:03,0,0
11:10,0,0
11:17,0,0
11:24,0,0
11:31,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:14,0,0
15:21,0,0
15:24,0,0
15:28,0,0
15:32,0,0
15:35,0,0
15:39,0,0
15:43,0,0
15:48,0,0
15:51,0,0
15:54,0,0
15:57,0,0
16:00,0,0
16:03,0,0
16:06,0,0
16:09,0,0
16:12,0,0
16:15,0,0
16:18,0,0
16:21,0,0
16:24,0,0
16:27,0,0
16:30,0,0
16:32,0,0
16:35,0,0
16:38,0,0
16:41,0,0
16:44,0,0
16:46,0,0
16:48,0,0
16:50,0,0
16:52,0,0
16:54,0,0
16:57,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:07,0,0
17:10,0,0
17:14,0,0
17:16,0,0
17:20,0,0
17:23,0,0
17:27,0,0
17:29,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:54,0,0
17:57,0,0
18:00,0,0
18:03,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:18,0,0
18:20,0,0
18:23,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:03,0,0
19:06,0,0
19:09,0,0
19:13,0,0
19:15,0,0
19:18,0,0
19:22,0,0
19:24,0,0
19:27,0,0
19:31,0,0
19:33,0,0
19:36,0,0
19:40,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:04,0,0
20:09,0,0
20:15,0,0
20:21,0,0
20:27,0,0
20:33,0,0
20:39,0,0
20:45,0,0
20:51,0,0
20:57,0,0
21:03,0,0
21:09,0,0
21:15,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:39,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:39,0,0
22:45,0,0
22:51,0,0
22:58,0,0
23:06,0,0
23:16,0,0
23:27,0,0
23:40,0,0
23:53,0,0
00:07,0,0
