时间,是否始发站,是否终到站
05:30,0,0
05:39,0,0
05:46,0,0
05:52,0,0
05:57,0,0
06:01,0,0
06:06,0,0
06:09,0,0
06:12,0,0
06:16,0,0
06:20,0,0
06:23,0,0
06:26,0,0
06:29,0,0
06:32,0,0
06:35,0,0
06:39,0,0
06:42,0,0
06:45,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:57,0,0
07:00,0,0
07:03,0,0
07:06,0,0
07:09,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:21,0,0
07:24,0,0
07:27,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:43,0,0
07:45,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:55,0,0
07:58,0,0
08:00,0,0
08:03,0,0
08:05,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:37,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:49,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:11,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:31,0,0
09:33,0,0
09:37,0,0
09:41,0,0
09:45,0,0
09:47,0,0
09:50,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:05,0,0
10:08,0,0
10:12,0,0
10:18,0,0
10:23,0,0
10:28,0,0
10:36,0,0
10:43,0,0
10:50,0,0
10:57,0,0
11:04,0,0
11:11,0,0
11:18,0,0
11:25,0,0
11:32,0,0
11:39,0,0
11:46,0,0
11:53,0,0
12:00,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:29,0,0
15:36,0,0
15:39,0,0
15:43,0,0
15:47,0,0
15:50,0,0
15:54,0,0
15:58,0,0
16:03,0,0
16:06,0,0
16:09,0,0
16:12,0,0
16:15,0,0
16:18,0,0
16:21,0,0
16:24,0,0
16:27,0,0
16:30,0,0
16:33,0,0
16:36,0,0
16:39,0,0
16:42,0,0
16:45,0,0
16:48,0,0
16:51,0,0
16:54,0,0
16:57,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:23,0,0
17:25,0,0
17:29,0,0
17:31,0,0
17:36,0,0
17:38,0,0
17:42,0,0
17:44,0,0
17:49,0,0
17:51,0,0
17:55,0,0
17:57,0,0
18:02,0,0
18:04,0,0
18:09,0,0
18:12,0,0
18:15,0,0
18:18,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:42,0,0
18:44,0,0
18:47,0,0
18:51,0,0
18:53,0,0
18:56,0,0
19:00,0,0
19:02,0,0
19:05,0,0
19:10,0,0
19:12,0,0
19:15,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:28,0,0
19:30,0,0
19:33,0,0
19:37,0,0
19:39,0,0
19:42,0,0
19:46,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:57,0,0
20:00,0,0
20:04,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:19,0,0
20:24,0,0
20:30,0,0
20:36,0,0
20:42,0,0
20:48,0,0
20:54,0,0
21:00,0,0
21:06,0,0
21:12,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:36,0,0
21:42,0,0
21:48,0,0
21:54,0,0
22:00,0,0
22:06,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:54,0,0
23:00,0,0
23:06,0,0
23:14,0,0
23:22,0,0
23:32,0,0
23:43,0,0
23:56,0,0
00:09,0,0
00:23,0,0
