时间,是否始发站,是否终到站
05:43,0,0
05:52,0,0
05:59,0,0
06:06,0,0
06:10,0,0
06:15,0,0
06:19,0,0
06:22,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:36,0,0
06:40,0,0
06:42,0,0
06:45,0,0
06:49,0,0
06:52,0,0
06:55,0,0
06:58,0,0
07:01,0,0
07:04,0,0
07:07,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:19,0,0
07:22,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:34,0,0
07:37,0,0
07:40,0,0
07:43,0,0
07:46,0,0
07:48,0,0
07:51,0,0
07:53,0,0
07:56,0,0
07:58,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:08,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:31,0,0
08:34,0,0
08:38,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:54,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:10,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:21,0,0
09:24,0,0
09:27,0,0
09:30,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:40,0,0
09:44,0,0
09:46,0,0
09:50,0,0
09:54,0,0
09:58,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:09,0,0
10:12,0,0
10:15,0,0
10:18,0,0
10:21,0,0
10:25,0,0
10:31,0,0
10:36,0,0
10:42,0,0
10:49,0,0
10:56,0,0
11:03,0,0
11:10,0,0
11:17,0,0
11:24,0,0
11:31,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:42,0,0
15:49,0,0
15:52,0,0
15:56,0,0
16:00,0,0
16:03,0,0
16:07,0,0
16:11,0,0
16:16,0,0
16:19,0,0
16:22,0,0
16:25,0,0
16:28,0,0
16:31,0,0
16:34,0,0
16:37,0,0
16:40,0,0
16:43,0,0
16:46,0,0
16:49,0,0
16:52,0,0
16:55,0,0
16:58,0,0
17:01,0,0
17:04,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:36,0,0
17:38,0,0
17:42,0,0
17:44,0,0
17:49,0,0
17:51,0,0
17:55,0,0
17:57,0,0
18:02,0,0
18:04,0,0
18:08,0,0
18:10,0,0
18:15,0,0
18:17,0,0
18:22,0,0
18:25,0,0
18:28,0,0
18:31,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:46,0,0
18:48,0,0
18:51,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:13,0,0
19:15,0,0
19:18,0,0
19:23,0,0
19:25,0,0
19:28,0,0
19:31,0,0
19:34,0,0
19:37,0,0
19:41,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:52,0,0
19:55,0,0
19:59,0,0
20:01,0,0
20:04,0,0
20:08,0,0
20:10,0,0
20:13,0,0
20:17,0,0
20:19,0,0
20:22,0,0
20:26,0,0
20:32,0,0
20:37,0,0
20:43,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:43,0,0
22:49,0,0
22:55,0,0
23:01,0,0
23:07,0,0
23:13,0,0
23:19,0,0
23:27,0,0
23:35,0,0
23:45,0,0
23:56,0,0
00:09,0,0
00:22,0,0
00:36,0,0
