时间,是否始发站,是否终到站
05:19,0,0
05:28,0,0
05:35,0,0
05:41,0,0
05:46,0,0
05:50,0,0
05:55,0,0
05:58,0,0
06:01,0,0
06:05,0,0
06:09,0,0
06:12,0,0
06:15,0,0
06:18,0,0
06:21,0,0
06:25,0,0
06:28,0,0
06:31,0,0
06:34,0,0
06:37,0,0
06:41,0,0
06:44,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:42,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:02,0,0
08:04,0,0
08:06,0,1
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,1
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,1
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,1
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,1
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,1
09:20,0,0
09:23,0,0
09:25,0,0
09:28,0,1
09:31,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:02,0,0
10:07,0,0
10:12,0,0
10:19,0,0
10:26,0,0
10:33,0,0
10:40,0,0
10:47,0,0
10:54,0,0
11:01,0,0
11:08,0,0
11:15,0,0
11:22,0,0
11:29,0,0
11:36,0,0
11:43,0,0
11:50,0,0
11:57,0,0
12:04,0,0
12:11,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:19,0,0
15:25,0,0
15:29,0,0
15:32,0,0
15:36,0,0
15:39,0,0
15:43,0,0
15:47,0,0
15:52,0,0
15:56,0,0
15:59,0,0
16:02,0,0
16:05,0,0
16:08,0,0
16:11,0,0
16:14,0,0
16:17,0,0
16:20,0,0
16:23,0,0
16:26,0,0
16:29,0,0
16:32,0,0
16:35,0,0
16:37,0,0
16:40,0,0
16:43,0,0
16:46,0,0
16:48,0,0
16:50,0,0
16:53,0,0
16:55,0,0
16:57,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:06,0,0
17:08,0,0
17:12,0,0
17:14,0,0
17:19,0,0
17:21,0,0
17:25,0,0
17:27,0,0
17:32,0,0
17:34,0,0
17:38,0,0
17:40,0,0
17:43,0,1
17:45,0,0
17:47,0,0
17:49,0,1
17:51,0,0
17:53,0,0
17:55,0,1
17:58,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:08,0,0
19:11,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:22,0,0
19:26,0,0
19:29,0,0
19:31,0,0
19:35,0,0
19:38,0,0
19:40,0,0
19:44,0,0
19:47,0,0
19:49,0,0
19:53,0,0
19:56,0,0
19:58,0,0
20:02,0,0
20:08,0,0
20:13,0,0
20:19,0,0
20:25,0,0
20:31,0,0
20:37,0,0
20:43,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:43,0,0
22:49,0,0
22:55,0,0
23:03,0,0
23:11,0,0
23:21,0,0
23:32,0,0
23:45,0,0
23:58,0,0
00:12,0,0
