时间,是否始发站,是否终到站
05:38,0,0
05:47,0,0
05:55,0,0
06:01,0,0
06:05,0,0
06:10,0,0
06:14,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:29,0,0
06:31,0,0
06:35,0,0
06:37,0,0
06:40,0,0
06:44,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
07:00,0,0
07:03,0,0
07:06,0,0
07:09,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:21,0,0
07:24,0,0
07:27,0,0
07:30,0,0
07:33,0,0
07:36,0,0
07:39,0,0
07:41,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:27,0,0
08:29,0,0
08:33,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:49,0,0
08:53,0,0
08:55,0,0
08:57,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:17,0,0
09:19,0,0
09:23,0,0
09:25,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:36,0,0
09:39,0,0
09:42,0,0
09:45,0,0
09:50,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:17,0,0
10:21,0,0
10:26,0,0
10:31,0,0
10:38,0,0
10:45,0,0
10:52,0,0
10:59,0,0
11:06,0,0
11:13,0,0
11:20,0,0
11:27,0,0
11:34,0,0
11:41,0,0
11:48,0,0
11:55,0,0
12:02,0,0
12:09,0,0
12:16,0,0
12:23,0,0
12:30,0,0
12:37,0,0
12:44,0,0
12:51,0,0
12:58,0,0
13:05,0,0
13:12,0,0
13:19,0,0
13:26,0,0
13:33,0,0
13:40,0,0
13:47,0,0
13:54,0,0
14:01,0,0
14:08,0,0
14:15,0,0
14:22,0,0
14:29,0,0
14:36,0,0
14:43,0,0
14:50,0,0
14:57,0,0
15:04,0,0
15:11,0,0
15:18,0,0
15:25,0,0
15:32,0,0
15:38,0,0
15:44,0,0
15:48,0,0
15:51,0,0
15:55,0,0
15:58,0,0
16:02,0,0
16:06,0,0
16:11,0,0
16:15,0,0
16:18,0,0
16:21,0,0
16:24,0,0
16:27,0,0
16:30,0,0
16:33,0,0
16:36,0,0
16:39,0,0
16:42,0,0
16:45,0,0
16:48,0,0
16:51,0,0
16:54,0,0
16:56,0,0
16:59,0,0
17:02,0,0
17:05,0,0
17:07,0,0
17:09,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:25,0,0
17:27,0,0
17:31,0,0
17:33,0,0
17:38,0,0
17:40,0,0
17:44,0,0
17:46,0,0
17:51,0,0
17:53,0,0
17:57,0,0
17:59,0,0
18:04,0,0
18:06,0,0
18:10,0,0
18:12,0,0
18:17,0,0
18:20,0,0
18:23,0,0
18:26,0,0
18:29,0,0
18:32,0,0
18:35,0,0
18:38,0,0
18:41,0,0
18:44,0,0
18:47,0,0
18:50,0,0
18:53,0,0
18:56,0,0
18:59,0,0
19:02,0,0
19:05,0,0
19:08,0,0
19:11,0,0
19:14,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:27,0,0
19:30,0,0
19:33,0,0
19:36,0,0
19:39,0,0
19:42,0,0
19:45,0,0
19:48,0,0
19:51,0,0
19:54,0,0
19:57,0,0
20:00,0,0
20:03,0,0
20:06,0,0
20:09,0,0
20:12,0,0
20:15,0,0
20:18,0,0
20:21,0,0
20:27,0,0
20:32,0,0
20:38,0,0
20:44,0,0
20:50,0,0
20:56,0,0
21:02,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:14,0,0
22:20,0,0
22:26,0,0
22:32,0,0
22:38,0,0
22:44,0,0
22:50,0,0
22:56,0,0
23:02,0,0
23:08,0,0
23:14,0,0
23:22,0,0
23:31,0,0
23:41,0,0
23:52,0,0
00:05,0,0
00:18,0,0
00:32,0,0
