时间,是否始发站,是否终到站
05:41,0,0
05:50,0,0
05:57,0,0
06:04,0,0
06:08,0,0
06:12,0,0
06:17,0,0
06:20,0,0
06:23,0,0
06:27,0,0
06:31,0,0
06:34,0,0
06:37,0,0
06:40,0,0
06:43,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:23,0,0
07:26,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:41,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:26,0,0
08:29,0,0
08:32,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:52,0,0
08:55,0,0
08:57,0,0
09:00,0,0
09:03,0,0
09:05,0,0
09:08,0,0
09:11,0,0
09:13,0,0
09:16,0,0
09:19,0,0
09:22,0,0
09:25,0,0
09:28,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:38,0,0
09:42,0,0
09:44,0,0
09:48,0,0
09:52,0,0
09:56,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:19,0,0
10:23,0,0
10:29,0,0
10:34,0,0
10:40,0,0
10:47,0,0
10:54,0,0
11:01,0,0
11:08,0,0
11:15,0,0
11:22,0,0
11:29,0,0
11:36,0,0
11:43,0,0
11:50,0,0
11:57,0,0
12:04,0,0
12:11,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:40,0,0
15:46,0,0
15:50,0,0
15:53,0,0
15:57,0,0
16:00,0,0
16:04,0,0
16:08,0,0
16:13,0,0
16:17,0,0
16:20,0,0
16:23,0,0
16:26,0,0
16:29,0,0
16:32,0,0
16:35,0,0
16:38,0,0
16:41,0,0
16:44,0,0
16:47,0,0
16:50,0,0
16:53,0,0
16:56,0,0
16:58,0,0
17:01,0,0
17:04,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:33,0,0
17:36,0,0
17:40,0,0
17:42,0,0
17:46,0,0
17:49,0,0
17:53,0,0
17:55,0,0
17:59,0,0
18:02,0,0
18:06,0,0
18:08,0,0
18:12,0,0
18:15,0,0
18:20,0,0
18:23,0,0
18:26,0,0
18:29,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:40,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:53,0,0
18:55,0,0
18:58,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:11,0,0
19:13,0,0
19:16,0,0
19:21,0,0
19:23,0,0
19:26,0,0
19:29,0,0
19:32,0,0
19:35,0,0
19:39,0,0
19:41,0,0
19:44,0,0
19:48,0,0
19:50,0,0
19:53,0,0
19:57,0,0
19:59,0,0
20:02,0,0
20:06,0,0
20:08,0,0
20:11,0,0
20:15,0,0
20:17,0,0
20:20,0,0
20:24,0,0
20:30,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:41,0,0
22:47,0,0
22:53,0,0
22:59,0,0
23:05,0,0
23:11,0,0
23:17,0,0
23:25,0,0
23:33,0,0
23:43,0,0
23:54,0,0
00:07,0,0
00:20,0,0
00:34,0,0
