时间,是否始发站,是否终到站
04:59,0,0
05:07,0,0
05:15,0,0
05:22,0,0
05:30,0,0
05:37,0,0
05:45,0,0
05:54,0,0
06:00,0,0
06:09,0,0
06:16,0,0
06:22,0,0
06:27,0,0
06:31,0,0
06:36,0,0
06:39,0,0
06:42,0,0
06:46,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:06,0,0
07:09,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:20,0,0
07:23,0,0
07:26,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:41,0,0
07:44,0,0
07:47,0,0
07:50,0,0
07:53,0,0
07:56,0,0
07:59,0,0
08:02,0,0
08:04,0,0
08:07,0,0
08:09,0,0
08:12,0,0
08:14,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:27,0,0
08:29,0,0
08:32,0,0
08:34,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:47,0,0
08:50,0,0
08:54,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:06,0,0
09:10,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:21,0,0
09:23,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:51,0,0
09:53,0,0
09:56,0,0
10:00,0,0
10:02,0,0
10:06,0,0
10:10,0,0
10:14,0,0
10:16,0,0
10:19,0,0
10:22,0,0
10:25,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:37,0,0
10:41,0,0
10:47,0,0
10:52,0,0
10:58,0,0
11:05,0,0
11:12,0,0
11:19,0,0
11:26,0,0
11:33,0,0
11:40,0,0
11:47,0,0
11:54,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:22,0,0
12:29,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:56,0,0
15:03,0,0
15:10,0,0
15:17,0,0
15:24,0,0
15:31,0,0
15:38,0,0
15:45,0,0
15:52,0,0
15:58,0,0
16:05,0,0
16:08,0,0
16:12,0,0
16:16,0,0
16:19,0,0
16:23,0,0
16:27,0,0
16:32,0,0
16:35,0,0
16:38,0,0
16:41,0,0
16:44,0,0
16:47,0,0
16:50,0,0
16:53,0,0
16:56,0,0
16:59,0,0
17:02,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:14,0,0
17:17,0,0
17:20,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:44,0,0
18:47,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:58,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:11,0,0
19:13,0,0
19:16,0,0
19:20,0,0
19:22,0,0
19:25,0,0
19:29,0,0
19:31,0,0
19:34,0,0
19:39,0,0
19:41,0,0
19:44,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:57,0,0
19:59,0,0
20:02,0,0
20:06,0,0
20:08,0,0
20:11,0,0
20:15,0,0
20:17,0,0
20:20,0,0
20:24,0,0
20:26,0,0
20:29,0,0
20:33,0,0
20:35,0,0
20:38,0,0
20:42,0,0
20:48,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:41,0,0
22:47,0,0
22:53,0,0
22:59,0,0
23:05,0,0
23:11,0,0
23:17,0,0
23:23,0,0
23:29,0,0
23:35,0,0
23:44,0,0
23:52,0,0
00:02,0,0
00:13,0,0
