时间,是否始发站,是否终到站
04:54,1,0
05:03,1,0
05:11,0,0
05:17,0,0
05:21,1,0
05:26,0,0
05:30,1,0
05:33,0,0
05:37,1,0
05:41,0,0
05:45,1,0
05:47,0,0
05:51,1,0
05:53,0,0
05:56,0,0
06:00,1,0
06:03,0,0
06:06,0,0
06:09,1,0
06:12,0,0
06:17,1,0
06:20,0,0
06:23,1,0
06:26,0,0
06:29,1,0
06:32,0,0
06:36,1,0
06:38,0,0
06:41,0,0
06:44,0,0
06:47,1,0
06:50,0,0
06:53,0,0
06:56,1,0
06:58,0,0
07:01,0,0
07:03,1,0
07:06,0,0
07:08,0,0
07:11,1,0
07:13,0,0
07:16,0,0
07:18,1,0
07:21,0,0
07:23,0,0
07:26,1,0
07:28,0,0
07:31,0,0
07:33,0,0
07:35,1,0
07:38,0,0
07:40,0,0
07:42,1,0
07:44,0,0
07:46,0,0
07:48,1,0
07:50,0,0
07:52,1,0
07:54,0,0
07:56,0,0
07:58,1,0
08:00,0,0
08:02,0,0
08:04,1,0
08:06,0,0
08:08,0,0
08:10,1,0
08:12,0,0
08:14,0,0
08:16,1,0
08:18,0,0
08:20,0,0
08:22,1,0
08:24,0,0
08:26,0,0
08:28,1,0
08:30,0,0
08:32,0,0
08:34,1,0
08:36,0,0
08:38,1,0
08:40,0,0
08:42,0,0
08:44,1,0
08:46,0,0
08:48,1,0
08:50,0,0
08:52,0,0
08:54,1,0
08:56,0,0
08:59,0,0
09:01,0,0
09:04,1,0
09:07,0,0
09:10,0,0
09:13,0,0
09:16,1,0
09:19,0,0
09:22,0,0
09:25,0,0
09:28,0,0
09:31,0,0
09:34,0,0
09:38,0,0
09:43,0,0
09:48,0,0
09:55,0,0
10:02,0,0
10:09,0,0
10:16,0,0
10:23,0,0
10:30,0,0
10:37,0,0
10:44,0,0
10:51,0,0
10:58,0,0
11:05,0,0
11:12,0,0
11:19,0,0
11:26,0,0
11:33,0,0
11:40,0,0
11:47,0,0
11:54,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:22,0,0
12:29,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:55,0,0
15:01,0,0
15:05,1,0
15:08,0,0
15:12,1,0
15:15,0,0
15:19,0,0
15:23,0,0
15:28,0,0
15:32,1,0
15:35,0,0
15:38,1,0
15:41,0,0
15:44,1,0
15:47,0,0
15:50,1,0
15:53,0,0
15:56,1,0
15:59,0,0
16:02,1,0
16:05,0,0
16:08,1,0
16:11,0,0
16:13,0,0
16:16,1,0
16:19,0,0
16:22,1,0
16:24,0,0
16:26,0,0
16:28,1,0
16:31,0,0
16:33,1,0
16:35,0,0
16:37,1,0
16:39,0,0
16:41,0,0
16:44,1,0
16:48,0,0
16:50,1,0
16:54,0,0
16:57,1,0
17:01,0,0
17:03,1,0
17:07,0,0
17:10,0,0
17:14,0,0
17:16,0,0
17:19,1,0
17:20,0,0
17:23,0,0
17:25,1,0
17:27,0,0
17:29,0,0
17:31,1,0
17:34,0,0
17:37,1,0
17:40,0,0
17:43,0,0
17:46,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:44,0,0
18:47,0,0
18:49,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:02,0,0
19:05,0,0
19:07,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:20,0,0
19:23,0,0
19:25,0,0
19:29,0,0
19:32,0,0
19:34,0,0
19:38,0,0
19:44,0,0
19:49,0,0
19:55,0,0
20:01,0,0
20:07,0,0
20:13,0,0
20:19,0,0
20:25,0,0
20:31,0,0
20:37,0,0
20:43,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:38,0,0
22:47,0,0
22:57,0,0
23:08,0,0
23:21,0,0
23:34,0,0
23:48,0,0
