时间,是否始发站,是否终到站
05:02,0,0
05:11,0,0
05:18,0,0
05:25,0,0
05:29,0,0
05:33,0,0
05:38,0,0
05:41,0,0
05:44,0,0
05:48,0,0
05:52,0,0
05:55,0,0
05:58,0,0
06:01,0,0
06:04,0,0
06:08,0,0
06:11,0,0
06:14,0,0
06:17,0,0
06:20,0,0
06:24,0,0
06:27,0,0
06:30,0,0
06:33,0,0
06:36,0,0
06:39,0,0
06:42,0,0
06:45,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:57,0,0
07:00,0,0
07:03,0,0
07:06,0,0
07:08,0,0
07:11,0,0
07:13,0,0
07:16,0,0
07:18,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:04,0,0
09:06,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:18,0,0
09:20,0,0
09:23,0,0
09:26,0,0
09:29,0,0
09:32,0,0
09:35,0,0
09:38,0,0
09:41,0,0
09:45,0,0
09:51,0,0
09:56,0,0
10:02,0,0
10:09,0,0
10:16,0,0
10:23,0,0
10:30,0,0
10:37,0,0
10:44,0,0
10:51,0,0
10:58,0,0
11:05,0,0
11:12,0,0
11:19,0,0
11:26,0,0
11:33,0,0
11:40,0,0
11:47,0,0
11:54,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:22,0,0
12:29,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:56,0,0
15:02,0,0
15:09,0,0
15:12,0,0
15:16,0,0
15:20,0,0
15:23,0,0
15:27,0,0
15:31,0,0
15:36,0,0
15:39,0,0
15:42,0,0
15:45,0,0
15:48,0,0
15:51,0,0
15:54,0,0
15:57,0,0
16:00,0,0
16:03,0,0
16:06,0,0
16:09,0,0
16:12,0,0
16:15,0,0
16:18,0,0
16:21,0,0
16:24,0,0
16:27,0,0
16:29,0,0
16:32,0,0
16:34,0,0
16:36,0,0
16:38,0,0
16:40,0,0
16:42,0,0
16:45,0,0
16:47,0,0
16:49,0,0
16:51,0,0
16:55,0,0
16:58,0,0
17:02,0,0
17:04,0,0
17:08,0,0
17:11,0,0
17:15,0,0
17:17,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:34,0,0
17:37,0,0
17:39,0,0
17:42,0,0
17:45,0,0
17:48,0,0
17:51,0,0
17:54,0,0
17:57,0,0
18:00,0,0
18:01,0,0
18:06,0,0
18:09,0,0
18:10,0,0
18:15,0,0
18:18,0,0
18:19,0,0
18:24,0,0
18:27,0,0
18:28,0,0
18:33,0,0
18:36,0,0
18:37,0,0
18:43,0,0
18:46,0,0
18:47,0,0
18:51,0,0
18:55,0,0
18:56,0,0
19:01,0,0
19:04,0,0
19:05,0,0
19:10,0,0
19:13,0,0
19:14,0,0
19:19,0,0
19:22,0,0
19:23,0,0
19:28,0,0
19:31,0,0
19:32,0,0
19:37,0,0
19:40,0,0
19:41,0,0
19:46,0,0
19:52,0,0
19:57,0,0
20:03,0,0
20:09,0,0
20:15,0,0
20:21,0,0
20:27,0,0
20:33,0,0
20:39,0,0
20:45,0,0
20:51,0,0
20:57,0,0
21:03,0,0
21:09,0,0
21:15,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:39,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:38,0,0
22:46,0,0
22:54,0,0
23:04,0,0
23:15,0,0
23:28,0,0
23:41,0,0
23:55,0,0
