时间,是否始发站,是否终到站
05:35,0,0
05:44,0,0
05:51,0,0
05:57,0,0
06:02,0,0
06:06,0,0
06:10,0,0
06:14,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:27,0,0
06:31,0,0
06:34,0,0
06:37,0,0
06:40,0,0
06:44,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:23,0,0
07:26,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:43,0,0
07:45,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:55,0,0
07:57,0,0
08:00,0,0
08:03,0,0
08:05,0,0
08:08,0,0
08:10,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:20,0,0
08:23,0,0
08:25,0,0
08:27,0,1
08:30,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:42,0,0
08:45,0,0
08:47,0,1
08:49,0,0
08:51,0,0
08:54,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,1
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,1
09:13,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:23,0,1
09:25,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:36,0,0
09:38,0,0
09:42,0,0
09:46,0,0
09:50,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:17,0,0
10:22,0,0
10:28,0,0
10:34,0,0
10:41,0,0
10:48,0,0
10:55,0,0
11:02,0,0
11:09,0,0
11:16,0,0
11:23,0,0
11:30,0,0
11:37,0,0
11:44,0,0
11:51,0,0
11:58,0,0
12:05,0,0
12:12,0,0
12:19,0,0
12:26,0,0
12:33,0,0
12:40,0,0
12:47,0,0
12:54,0,0
13:01,0,0
13:08,0,0
13:15,0,0
13:22,0,0
13:29,0,0
13:36,0,0
13:43,0,0
13:50,0,0
13:57,0,0
14:04,0,0
14:11,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:39,0,0
14:46,0,0
14:53,0,0
15:00,0,0
15:07,0,0
15:14,0,0
15:21,0,0
15:28,0,0
15:34,0,0
15:40,0,0
15:44,0,0
15:47,0,0
15:51,0,0
15:54,0,0
15:58,0,0
16:02,0,0
16:07,0,0
16:11,0,0
16:14,0,0
16:17,0,0
16:20,0,0
16:23,0,0
16:26,0,0
16:29,0,0
16:32,0,0
16:35,0,0
16:38,0,0
16:41,0,0
16:44,0,0
16:47,0,0
16:50,0,0
16:52,0,0
16:55,0,0
16:58,0,0
17:01,0,0
17:03,0,0
17:06,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:27,0,0
17:29,0,0
17:34,0,0
17:36,0,0
17:40,0,0
17:42,0,0
17:47,0,0
17:49,0,0
17:53,0,0
17:55,0,0
18:00,0,0
18:02,0,0
18:06,0,0
18:08,0,0
18:13,0,0
18:16,0,0
18:20,0,0
18:23,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:23,0,0
19:26,0,0
19:29,0,0
19:33,0,0
19:35,0,0
19:38,0,0
19:42,0,0
19:44,0,0
19:47,0,0
19:51,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:02,0,0
20:05,0,0
20:09,0,0
20:11,0,0
20:14,0,0
20:18,0,0
20:24,0,0
20:29,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:41,0,0
22:47,0,0
22:53,0,0
22:59,0,0
23:05,0,0
23:11,0,0
23:18,0,0
23:27,0,0
23:37,0,0
23:48,0,0
00:01,0,0
00:14,0,0
00:28,0,0
