时间,是否始发站,是否终到站
05:04,0,0
05:11,0,0
05:20,0,0
05:27,0,0
05:34,0,0
05:41,0,0
05:47,0,0
05:50,0,0
05:57,0,0
06:00,0,0
06:06,0,0
06:13,0,0
06:19,0,0
06:25,0,0
06:31,0,0
06:34,0,0
06:37,0,0
06:43,0,0
06:46,0,0
06:52,0,0
06:54,0,0
06:59,0,0
07:02,0,0
07:07,0,0
07:09,0,0
07:14,0,0
07:17,0,0
07:22,0,0
07:24,0,0
07:27,0,0
07:31,0,0
07:33,0,0
07:37,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:49,0,0
07:53,0,0
07:55,0,0
07:59,0,0
08:01,0,0
08:05,0,0
08:07,0,0
08:11,0,0
08:13,0,0
08:17,0,0
08:19,0,0
08:23,0,0
08:27,0,0
08:29,0,0
08:33,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:45,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:59,0,0
09:04,0,0
09:06,0,0
09:11,0,0
09:15,0,0
09:18,0,0
09:21,0,0
09:24,0,0
09:27,0,0
09:31,0,0
09:37,0,0
09:42,0,0
09:48,0,0
09:55,0,0
10:02,0,0
10:09,0,0
10:16,0,0
10:23,0,0
10:30,0,0
10:37,0,0
10:44,0,0
10:51,0,0
10:58,0,0
11:05,0,0
11:12,0,0
11:19,0,0
11:26,0,0
11:33,0,0
11:40,0,0
11:47,0,0
11:54,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:22,0,0
12:29,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:13,0,0
15:17,0,0
15:22,0,0
15:28,0,0
15:34,0,0
15:40,0,0
15:46,0,0
15:52,0,0
15:58,0,0
16:04,0,0
16:07,0,0
16:13,0,0
16:18,0,0
16:20,0,0
16:24,0,0
16:29,0,0
16:33,0,0
16:35,0,0
16:42,0,0
16:48,0,0
16:55,0,0
17:01,0,0
17:03,0,0
17:08,0,0
17:10,0,0
17:14,0,0
17:16,0,0
17:21,0,0
17:23,0,0
17:28,0,0
17:34,0,0
17:37,0,0
17:40,0,0
17:43,0,0
17:46,0,0
17:49,0,0
17:52,0,0
17:55,0,0
17:58,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:13,0,0
18:16,0,0
18:19,0,0
18:22,0,0
18:25,0,0
18:29,0,0
18:32,0,0
18:36,0,0
18:37,0,0
18:41,0,0
18:44,0,0
18:47,0,0
18:50,0,0
18:53,0,0
18:56,0,0
18:59,0,0
19:02,0,0
19:05,0,0
19:08,0,0
19:11,0,0
19:14,0,0
19:17,0,0
19:20,0,0
19:23,0,0
19:26,0,0
19:29,0,0
19:32,0,0
19:38,0,0
19:43,0,0
19:49,0,0
19:55,0,0
20:01,0,0
20:07,0,0
20:13,0,0
20:19,0,0
20:25,0,0
20:31,0,0
20:37,0,0
20:43,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:32,0,0
22:40,0,0
22:50,0,0
23:01,0,0
23:14,0,0
23:27,0,0
23:41,0,0
