时间,是否始发站,是否终到站
05:02,0,0
05:09,0,0
05:18,0,0
05:25,0,0
05:32,0,0
05:39,0,0
05:45,0,0
05:48,0,0
05:55,0,0
05:58,0,0
06:04,0,0
06:11,0,0
06:17,0,0
06:23,0,0
06:29,0,0
06:32,0,0
06:35,0,0
06:41,0,0
06:44,0,0
06:50,0,0
06:52,0,0
06:57,0,0
07:00,0,0
07:05,0,0
07:07,0,0
07:12,0,0
07:15,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:29,0,0
07:31,0,0
07:35,0,0
07:37,0,0
07:41,0,0
07:45,0,0
07:47,0,0
07:51,0,0
07:53,0,0
07:57,0,0
07:59,0,0
08:03,0,0
08:05,0,0
08:09,0,0
08:11,0,0
08:15,0,0
08:17,0,0
08:21,0,0
08:25,0,0
08:27,0,0
08:31,0,0
08:33,0,0
08:37,0,0
08:41,0,0
08:43,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:57,0,0
09:02,0,0
09:04,0,0
09:09,0,0
09:13,0,0
09:16,0,0
09:19,0,0
09:22,0,0
09:25,0,0
09:29,0,0
09:35,0,0
09:40,0,0
09:46,0,0
09:53,0,0
10:00,0,0
10:07,0,0
10:14,0,0
10:21,0,0
10:28,0,0
10:35,0,0
10:42,0,0
10:49,0,0
10:56,0,0
11:03,0,0
11:10,0,0
11:17,0,0
11:24,0,0
11:31,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:46,0,0
14:53,0,0
15:00,0,0
15:07,0,0
15:11,0,0
15:15,0,0
15:20,0,0
15:26,0,0
15:32,0,0
15:38,0,0
15:44,0,0
15:50,0,0
15:56,0,0
16:02,0,0
16:05,0,0
16:11,0,0
16:16,0,0
16:18,0,0
16:22,0,0
16:27,0,0
16:31,0,0
16:33,0,0
16:40,0,0
16:46,0,0
16:53,0,0
16:59,0,0
17:01,0,0
17:06,0,0
17:08,0,0
17:12,0,0
17:14,0,0
17:19,0,0
17:21,0,0
17:26,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:41,0,0
17:44,0,0
17:47,0,0
17:50,0,0
17:53,0,0
17:56,0,0
17:59,0,0
18:02,0,0
18:05,0,0
18:08,0,0
18:11,0,0
18:14,0,0
18:17,0,0
18:20,0,0
18:23,0,0
18:27,0,0
18:30,0,0
18:34,0,0
18:35,0,0
18:39,0,0
18:42,0,0
18:45,0,0
18:48,0,0
18:51,0,0
18:54,0,0
18:57,0,0
19:00,0,0
19:03,0,0
19:06,0,0
19:09,0,0
19:12,0,0
19:15,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:27,0,0
19:30,0,0
19:36,0,0
19:41,0,0
19:47,0,0
19:53,0,0
19:59,0,0
20:05,0,0
20:11,0,0
20:17,0,0
20:23,0,0
20:29,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:30,0,0
22:38,0,0
22:48,0,0
22:59,0,0
23:12,0,0
23:25,0,0
23:39,0,0
