时间,是否始发站,是否终到站
05:01,0,1
05:09,0,1
05:17,0,1
05:24,0,1
05:32,0,1
05:39,0,1
05:47,0,1
05:56,0,1
06:02,0,1
06:11,0,1
06:18,0,1
06:24,0,1
06:29,0,1
06:33,0,1
06:38,0,1
06:41,0,1
06:44,0,1
06:48,0,1
06:52,0,1
06:55,0,1
06:58,0,1
07:01,0,1
07:04,0,1
07:08,0,1
07:11,0,1
07:14,0,1
07:17,0,1
07:20,0,1
07:22,0,1
07:25,0,1
07:28,0,1
07:31,0,1
07:34,0,1
07:37,0,1
07:40,0,1
07:43,0,1
07:46,0,1
07:49,0,1
07:52,0,1
07:55,0,1
07:58,0,1
08:01,0,1
08:04,0,1
08:06,0,1
08:09,0,1
08:11,0,1
08:14,0,1
08:16,0,1
08:19,0,1
08:21,0,1
08:23,0,1
08:26,0,1
08:29,0,1
08:31,0,1
08:34,0,1
08:36,0,1
08:39,0,1
08:41,0,1
08:43,0,1
08:46,0,1
08:49,0,1
08:52,0,1
08:56,0,1
08:59,0,1
09:01,0,1
09:03,0,1
09:05,0,1
09:08,0,1
09:12,0,1
09:15,0,1
09:17,0,1
09:20,0,1
09:23,0,1
09:25,0,1
09:28,0,1
09:31,0,1
09:33,0,1
09:36,0,1
09:39,0,1
09:42,0,1
09:45,0,1
09:48,0,1
09:51,0,1
09:53,0,1
09:55,0,1
09:58,0,1
10:02,0,1
10:04,0,1
10:08,0,1
10:12,0,1
10:16,0,1
10:18,0,1
10:21,0,1
10:24,0,1
10:27,0,1
10:30,0,1
10:33,0,1
10:36,0,1
10:39,0,1
10:43,0,1
10:49,0,1
10:54,0,1
11:00,0,1
11:07,0,1
11:14,0,1
11:21,0,1
11:28,0,1
11:35,0,1
11:42,0,1
11:49,0,1
11:56,0,1
12:03,0,1
12:10,0,1
12:17,0,1
12:24,0,1
12:31,0,1
12:38,0,1
12:45,0,1
12:52,0,1
12:59,0,1
13:06,0,1
13:13,0,1
13:20,0,1
13:27,0,1
13:34,0,1
13:41,0,1
13:48,0,1
13:55,0,1
14:02,0,1
14:09,0,1
14:16,0,1
14:23,0,1
14:30,0,1
14:37,0,1
14:44,0,1
14:51,0,1
14:58,0,1
15:05,0,1
15:12,0,1
15:19,0,1
15:26,0,1
15:33,0,1
15:40,0,1
15:47,0,1
15:54,0,1
16:00,0,1
16:07,0,1
16:10,0,1
16:14,0,1
16:18,0,1
16:21,0,1
16:25,0,1
16:29,0,1
16:34,0,1
16:37,0,1
16:40,0,1
16:43,0,1
16:46,0,1
16:49,0,1
16:52,0,1
16:55,0,1
16:58,0,1
17:01,0,1
17:04,0,1
17:07,0,1
17:10,0,1
17:13,0,1
17:16,0,1
17:19,0,1
17:22,0,1
17:25,0,1
17:28,0,1
17:30,0,1
17:32,0,1
17:34,0,1
17:36,0,1
17:38,0,1
17:41,0,1
17:43,0,1
17:45,0,1
17:47,0,1
17:49,0,1
17:51,0,1
17:54,0,1
17:56,0,1
17:58,0,1
18:00,0,1
18:02,0,1
18:04,0,1
18:07,0,1
18:09,0,1
18:11,0,1
18:13,0,1
18:15,0,1
18:17,0,1
18:20,0,1
18:22,0,1
18:24,0,1
18:26,0,1
18:28,0,1
18:30,0,1
18:33,0,1
18:35,0,1
18:38,0,1
18:40,0,1
18:43,0,1
18:46,0,1
18:49,0,1
18:52,0,1
18:55,0,1
18:57,0,1
19:00,0,1
19:04,0,1
19:06,0,1
19:09,0,1
19:13,0,1
19:15,0,1
19:18,0,1
19:22,0,1
19:24,0,1
19:27,0,1
19:31,0,1
19:33,0,1
19:36,0,1
19:41,0,1
19:43,0,1
19:46,0,1
19:49,0,1
19:52,0,1
19:55,0,1
19:59,0,1
20:01,0,1
20:04,0,1
20:08,0,1
20:10,0,1
20:13,0,1
20:17,0,1
20:19,0,1
20:22,0,1
20:26,0,1
20:28,0,1
20:31,0,1
20:35,0,1
20:37,0,1
20:40,0,1
20:44,0,1
20:50,0,1
20:55,0,1
21:01,0,1
21:07,0,1
21:13,0,1
21:19,0,1
21:25,0,1
21:31,0,1
21:37,0,1
21:43,0,1
21:49,0,1
21:55,0,1
22:01,0,1
22:07,0,1
22:13,0,1
22:19,0,1
22:25,0,1
22:31,0,1
22:37,0,1
22:43,0,1
22:49,0,1
22:55,0,1
23:01,0,1
23:07,0,1
23:13,0,1
23:19,0,1
23:25,0,1
23:31,0,1
23:37,0,1
23:46,0,1
23:54,0,1
00:04,0,1
00:15,0,1
