起始站名,目的站名,距离（米）
昌平西山口,十三陵景区,1213
十三陵景区,昌平西山口,1213
十三陵景区,昌平,3508
昌平,十三陵景区,3508
昌平,昌平东关,2433
昌平东关,昌平,2433
昌平东关,北邵洼,1683
北邵洼,昌平东关,1683
北邵洼,南邵,1958
南邵,北邵洼,1958
南邵,沙河高教园,5357
沙河高教园,南邵,5357
沙河高教园,沙河,1964
沙河,沙河高教园,1964
沙河,巩华城,2025
巩华城,沙河,2025
巩华城,朱辛庄,3799
朱辛庄,巩华城,3799
朱辛庄,生命科学园,2367
生命科学园,朱辛庄,2367
生命科学园,西二旗,5440
西二旗,生命科学园,5440
西二旗,清河站,1545
清河站,西二旗,1545
清河站,朱房北,1652
朱房北,清河站,1652
朱房北,清河小营桥,1158
清河小营桥,朱房北,1158
清河小营桥,学知园,2366
学知园,清河小营桥,2366
学知园,六道口,1683
六道口,学知园,1683
六道口,学院桥,1312
学院桥,六道口,1312
学院桥,西土城,1481
西土城,学院桥,1481
